 time       v(/in)     v(/out)   
 5.480e-04 -1.485e+00  3.625e+00 
 5.490e-04 -1.515e+00  3.625e+00 
 5.500e-04 -1.545e+00  3.625e+00 
 5.510e-04 -1.575e+00  3.625e+00 
 5.520e-04 -1.605e+00  3.625e+00 
 5.530e-04 -1.634e+00  3.625e+00 
 5.540e-04 -1.664e+00  3.625e+00 
 5.550e-04 -1.694e+00  3.625e+00 
 5.560e-04 -1.723e+00  3.625e+00 
 5.570e-04 -1.753e+00  3.625e+00 
 5.580e-04 -1.782e+00  3.625e+00 
 5.590e-04 -1.811e+00  3.625e+00 
 5.600e-04 -1.841e+00  3.625e+00 
 5.610e-04 -1.870e+00  3.625e+00 
 5.620e-04 -1.899e+00  3.625e+00 
 5.630e-04 -1.928e+00  3.625e+00 
 5.640e-04 -1.957e+00  3.625e+00 
 5.650e-04 -1.986e+00  3.625e+00 
 5.660e-04 -2.015e+00  3.625e+00 
 5.670e-04 -2.043e+00  3.624e+00 
 5.680e-04 -2.072e+00  3.624e+00 
 5.690e-04 -2.100e+00  3.624e+00 
 5.700e-04 -2.129e+00  3.624e+00 
 5.710e-04 -2.157e+00  3.624e+00 
 5.720e-04 -2.186e+00  3.624e+00 
 5.730e-04 -2.214e+00  3.624e+00 
 5.740e-04 -2.242e+00  3.624e+00 
 5.750e-04 -2.270e+00  3.624e+00 
 5.760e-04 -2.298e+00  3.624e+00 
 5.770e-04 -2.326e+00  3.624e+00 
 5.780e-04 -2.354e+00  3.624e+00 
 5.790e-04 -2.381e+00  3.624e+00 
 5.800e-04 -2.409e+00  3.624e+00 
 5.810e-04 -2.436e+00  3.624e+00 
 5.820e-04 -2.464e+00  3.624e+00 
 5.830e-04 -2.491e+00  3.624e+00 
 5.840e-04 -2.518e+00  3.624e+00 
 5.850e-04 -2.545e+00  3.624e+00 
 5.860e-04 -2.572e+00  3.624e+00 
 5.870e-04 -2.599e+00  3.624e+00 
 5.880e-04 -2.626e+00  3.624e+00 
 5.890e-04 -2.653e+00  3.624e+00 
