 time       v(/signal_in) v(/rect_out)
 5.390e-04  3.639e-01  3.665e-07 
 5.400e-04  3.730e-01  5.244e-07 
 5.410e-04  3.822e-01  7.490e-07 
 5.420e-04  3.913e-01  1.068e-06 
 5.430e-04  4.004e-01  1.522e-06 
 5.440e-04  4.094e-01  2.166e-06 
 5.450e-04  4.185e-01  3.079e-06 
 5.460e-04  4.275e-01  4.373e-06 
 5.470e-04  4.366e-01  6.203e-06 
 5.480e-04  4.456e-01  8.788e-06 
 5.490e-04  4.546e-01  1.243e-05 
 5.500e-04  4.635e-01  1.756e-05 
 5.510e-04  4.725e-01  2.474e-05 
 5.520e-04  4.814e-01  3.478e-05 
 5.530e-04  4.903e-01  4.871e-05 
 5.540e-04  4.992e-01  6.795e-05 
 5.550e-04  5.081e-01  9.429e-05 
 5.560e-04  5.170e-01  1.300e-04 
